rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
102.12,0.05,645599,4920,-645.09126468,2061,313,0.0,0.0001,0.035659607499837875,148899
101.57,0.05,645978,4924,-644.7146866700001,2063,313,0.0,0.0001,0.008981093764305115,148994
101.74,0.05,646359,4928,-644.8018004099999,2064,313,0.0,0.0001,0.013062197715044022,149089
101.93,0.05,646746,4932,-645.02180601,2066,313,0.0,0.0001,0.04755224660038948,149186
102.32,0.05,647163,4936,-645.34201457,2067,312,0.0,0.0001,0.015064280480146408,149290
103.12,0.05,647621,4940,-646.13420342,2069,312,0.0,0.0001,14.685171127319336,149405
103.0,0.05,648028,4944,-646.1117865000001,2070,312,0.0,0.0001,15.070575714111328,149506
103.73,0.05,648477,4948,-646.92672697,2072,312,0.0,0.0001,0.01007281243801117,149619
103.08,0.05,648921,4952,-646.10600555,2073,312,0.0,0.0001,14.305315971374512,149730
103.14,0.05,649306,4956,-646.08374697,2075,312,0.0,0.0001,28.558204650878906,149826
103.82,0.05,649775,4960,-646.84781548,2076,312,0.0,0.0001,0.006322688888758421,149943
104.43,0.05,650253,4964,-647.24724371,2078,312,0.0,0.0001,0.012423336505889893,150063
105.12,0.05,650728,4968,-647.85022191,2080,312,0.0,0.0001,14.29472541809082,150181
104.76,0.05,651091,4972,-647.39149117,2081,312,0.0,0.0001,0.005003074184060097,150272
105.11,0.05,651532,4976,-647.66850115,2082,312,0.0,0.0001,0.017987413331866264,150382
105.56,0.05,651968,4980,-648.10158512,2084,312,0.0,0.0001,14.579652786254883,150491
105.18,0.05,652383,4984,-647.8593087700001,2085,312,0.0,0.0001,0.014896764419972897,150595
105.4,0.05,652800,4988,-648.0690296600001,2087,312,0.0,0.0001,0.0380980521440506,150699
106.21,0.05,653256,4992,-648.86443807,2088,312,0.0,0.0001,16.187891006469727,150813
106.66,0.05,653666,4996,-649.3018381400001,2090,312,0.0,0.0001,0.014764840714633465,150916
106.52,0.05,654106,5000,-649.18831649,2091,312,0.0,0.0001,14.395628929138184,151026
107.66,0.05,654590,5004,-650.5268947000001,2093,312,0.0,0.0001,0.00995106901973486,151147
107.17,0.05,654993,5008,-650.1791596099999,2095,312,0.0,0.0001,0.015320568345487118,151248
106.62,0.05,655397,5012,-649.7263754800001,2096,312,0.0,0.0001,0.010280548594892025,151349
107.09,0.05,655855,5016,-650.18465991,2098,312,0.0,0.0001,0.008937343955039978,151463
107.08,0.05,656307,5020,-650.28778306,2099,312,0.0,0.0001,0.00948081910610199,151576
108.05,0.05,656783,5024,-651.1799599000001,2101,312,0.0,0.0001,14.249828338623047,151695
107.92,0.05,657151,5028,-651.1203733899999,2102,312,0.0,0.0001,0.01726776547729969,151787
108.81,0.05,657627,5032,-652.02338756,2104,312,0.0,0.0001,0.012796459719538689,151906
108.95,0.05,658058,5036,-652.18541305,2105,312,0.0,0.0001,0.0061345151625573635,152014
108.1,0.05,658431,5040,-651.3726879000001,2107,312,0.0,0.0001,0.08495091646909714,152107
108.27,0.05,658855,5044,-651.5232642599999,2108,312,0.0,0.0001,0.01032969355583191,152213
108.2,0.05,659297,5048,-651.3579424100001,2110,312,0.0,0.0001,0.013289227150380611,152324
107.58,0.05,659679,5052,-650.9363790199999,2111,312,0.0,0.0001,0.008408219553530216,152419
