time/fps,rollout/ep_len_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
247,138.26,0.61,2279793,9216,17696,0.05,-360.20146384,0.0001,557448,0.01786605268716812
247,137.73,0.61,2280277,9218,17700,0.05,-359.62074264,0.0001,557569,0.006606594193726778
247,137.31,0.61,2280805,9220,17704,0.05,-359.24502333000004,0.0001,557701,0.011336828581988811
247,137.55,0.62,2281358,9223,17708,0.05,-354.3599196300001,0.0001,557839,0.005364122334867716
247,137.86,0.64,2281920,9225,17712,0.05,-344.48413747,0.0001,557979,14.469231605529785
247,138.42,0.66,2282492,9227,17716,0.05,-334.95171151999995,0.0001,558122,0.012411240488290787
247,136.85,0.64,2282887,9229,17720,0.05,-343.64109297999994,0.0001,558221,0.01028573326766491
247,137.05,0.66,2283386,9231,17724,0.05,-333.66025996,0.0001,558346,0.015236970037221909
247,137.7,0.68,2283972,9233,17728,0.05,-324.06726537,0.0001,558492,0.01718948222696781
247,137.63,0.68,2284542,9236,17732,0.05,-324.10461698999995,0.0001,558635,13.839272499084473
247,137.66,0.69,2285094,9238,17736,0.05,-319.03648162999997,0.0001,558773,13.965924263000488
247,137.49,0.7,2285670,9240,17740,0.05,-313.7719519799999,0.0001,558917,0.007451994810253382
247,137.95,0.71,2286270,9243,17744,0.05,-309.15288247,0.0001,559067,0.012865070253610611
247,137.93,0.72,2286827,9245,17748,0.05,-304.15310853,0.0001,559206,0.7863505482673645
247,139.04,0.75,2287410,9247,17752,0.05,-289.85060674999994,0.0001,559352,0.018157364800572395
247,138.04,0.72,2287904,9249,17756,0.05,-304.19220017,0.0001,559475,0.014853054657578468
247,138.25,0.73,2288483,9251,17760,0.05,-299.25676747,0.0001,559620,0.006784385535866022
247,137.36,0.69,2288980,9254,17764,0.05,-318.75122157999994,0.0001,559744,0.011020433157682419
247,136.88,0.66,2289494,9256,17768,0.05,-333.51458544,0.0001,559873,0.008429485373198986
247,136.7,0.66,2290040,9258,17772,0.05,-333.31315916,0.0001,560009,0.012349020689725876
247,136.77,0.66,2290626,9260,17776,0.05,-333.40180444999993,0.0001,560156,0.023978764191269875
247,135.99,0.65,2291109,9262,17780,0.05,-337.66351645,0.0001,560277,0.015379331074655056
247,135.89,0.66,2291688,9265,17784,0.05,-332.67257185999995,0.0001,560421,0.013819219544529915
247,135.81,0.66,2292242,9267,17788,0.05,-332.56988084999995,0.0001,560560,0.03468140959739685
